,How much,What,When,Where
3,(Entrance fee: 145 DKK),Sleep Party People.,"Thur 30 November 2017, 9 pm.","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C"
4,(Entrance fee: 80),Nussbaum & Illebog.,"Thur 30 November 2017, 9 pm.","Metronomen, GodthÃ¥bsvej 33, Frederiksberg"
5,(Entrance fee: 100 DKK),Tops (US) + support.,"Thur 30 November 2017, 9 pm  - kl. 00.","Huset KBH MusikcafÃ©en, RÃ¥dhusstrÃ¦de 13, 3. sal, Copenhagen K"
6,(Entrance fee: 112 DKK + gebyr),Clara Vuust Quintet.,"Thur 30 November 2017, 9 pm  - 11.30 pm.","Huset KBH - Stardust, RÃ¥dhusstrÃ¦de 13, 1. tv., Copenhagen K"
7,"(Entrance fee: 165,00 DKK)",Bohren & Der Club of Gore (DE).,"Thur 30 November 2017, 10 pm.","VEGA, Enghavevej 40, Copenhagen V"
8,(Free admission),Blues Jam.,"Thur 30 November 2017, 10 pm.","Mojo Blues bar, LÃ¸ngangsstrÃ¦de 21 C, Copenhagen K"
9,,MatinÃ©.,"Fri 1 December 2017, 11 am  - 12 am.","GrÃ¸ndalslund Kirke og SognegÃ¥rd, TÃ¥rnvej 350, RÃ¸dovre"
10,,FÃ¦llessang.,"Fri 1 December 2017, 1 pm  - 2.30 pm.","Vigerslev Bibliotek, KirsebÃ¦rhaven 23, Valby"
11,(Free admission),Klokkespilskoncert.,"Fri 1 December 2017, 3 pm.","Vor Frelsers Kirke, Sankt AnnÃ¦ Gade 29, Copenhagen K"
12,"(Entrance fee: 120,-","Verdenspremiere ""BASSCHOK !"" FonnesbÃ¦k, Bodilsen & Petri.","Fri 1 December 2017, 3.30 pm.","Jazzcup, Gothersgade 107, Copenhagen K"
13,(Free admission),December jazz.,"Fri 1 December 2017, 3.30 pm  - 5.30 pm.","TÃ¥rnby Hovedbibliotek, Kamillevej 10, Kastrup"
14,,Fredagskoncert.,"Fri 1 December 2017, 4.30 pm  - 5.30 pm.","Trinitatis Kirke, LandemÃ¦rket 2, Copenhagen K"
15,,Julekalenderkoncert med Vokalgruppen RUM.,"Fri 1 December 2017, 4.30 pm  - 6 pm.","Anna Kirke, Bjelkes AllÃ© 19-21, Copenhagen N"
16,(Free admission),Bjarke Mogensen spiller Domenico Scarlatti.,"Fri 1 December 2017, 5 pm.","Frederiksberg Slotskirke, Roskildevej 28, Frederiksberg"
17,(Free admission),Advent I.,"Fri 1 December 2017, 5 pm.","Solbjerg Kirke, Howitzvej 30A, Frederiksberg"
18,,LystÃ¦ndingsfest pÃ¥ Vesterbros Torv.,"Fri 1 December 2017, 5 pm  - 6 pm.","Eliaskirken, Vesterbros Torv, Vesterbrogade 49, Copenhagen V"
19,,Adventskoncert med Trio con Brio.,"Fri 1 December 2017, 5 pm  - 6 pm.","Solbjerg Kirke, Howitzvej 30A, Frederiksberg"
0,(Entrance fee: 199),Bouzouki og Buffet.,"Fri 1 December 2017, 6 pm  - 12 pm.","CafÃ© Patina, Mysundegade 26, Copenhagen V"
1,(Entrance fee: 73 - 452 DKK),"Juleoratoriet, I.","Fri 1 December 2017, 7.30 pm.","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C"
2,(Entrance fee: 50),DrÃ¸mmende poetisk ambientkoncert i Frihavnskirken.,"Fri 1 December 2017, 7.30 pm.","Frihavnskirken, Willemoesgade 68, Copenhagen Ã"
3,(Entrance fee: Udsolgt),Niels Skousen - Solo // Udsolgt.,"Fri 1 December 2017, 7.30 pm.","Karens Minde Kulturhus, Wagnersvej 19, Copenhagen SV"
4,(Entrance fee: 100 DKK. / 50 DKK. for medl.),Spirit of New Orleans.,"Fri 1 December 2017, 7.30 pm, Spisning 6 pm.","Kulturhuset BrÃ¸nden, BrÃ¸ndby Strand Centrum 60, BrÃ¸ndby Strand"
5,,Koncert sang og orgel.,"Fri 1 December 2017, 7.30 pm  - 8.30 pm.","Sct. Thomas kirke, Rolighedsvej 16, Frederiksberg C"
6,,Adventskoncert med Hans Egedes Kirkekor og Lundehus Kirkes kor.,"Fri 1 December 2017, 7.30 pm  - 8.30 pm.","Hans Egedes Kirke, Vardegade 14, Copenhagen Ã"
7,(Entrance fee: 420 - 440 Kr.),Stig Rossen Julekoncert 2017.,"Fri 1 December 2017, 8 pm.","Taastrup Teater & Musikhus, Kjeld Abells Plads 1, Taastrup"
8,"(Entrance fee: 140,00 DKK)",Marc Facchini (DK).,"Fri 1 December 2017, 8 pm.","Ideal Bar, Enghavevej 40, Copenhagen V"
9,(Entrance fee: 335 DKK + evt. gebyr),Ronnie Cuber & Danish All Stars B-3 Band.,"Fri 1 December 2017, 8 pm.","Jazzhus Montmartre, Store Regnegade 19A, Copenhagen K"
10,,Koncert med The Real Group.,"Fri 1 December 2017, 8 pm  - 9 pm.","Christians Kirke, Strandgade 1, Copenhagen K"
11,(Entrance fee: 100/50),Amagerbro Jazz: Pierre DÃ¸rge & New Jungle Orchestra.,"Fri 1 December 2017, 8 pm  - 9.30 pm.","Kvarterhuset, Jemtelandsgade 3, Copenhagen S"
12,,Rust Live.,"Fri 1 December 2017, 8.30 pm.","Rust, Guldbergsgade 8, Copenhagen N"
13,(Entrance fee: 80),PhÃ¸nix.,"Fri 1 December 2017, 8.30 pm.","Metronomen, GodthÃ¥bsvej 33, Frederiksberg"
14,(Entrance fee: 190 DKK),Marvelous Mosell.,"Fri 1 December 2017, 9 pm.","Pumpehuset, StudiestrÃ¦de 52, Copenhagen V"
15,"(Entrance fee: 125,00 DKK)",Temple of Doom prÃ¦senterer: Artillery.,"Fri 1 December 2017, 9 pm.","Templet, Jernbanevej 16, Kongens Lyngby"
16,(Entrance fee: 220 DKK),Wolf Parade.,"Fri 1 December 2017, 9 pm.","Loppen, Christiania, BÃ¥dsmandsstrÃ¦de 43, Copenhagen K"
17,"(Entrance fee: 110,00 dkk - 235,00 dkk)",Rattlers - Power Rock/Blues.,"Fri 1 December 2017, 9 pm.","Bartof Station, Solbjergvej 3, Frederiksberg"
18,(Entrance fee: 120 DKK),Manish Pingle Duo feat. Mirwais Fedai (IN/DK).,"Fri 1 December 2017, 9 pm.","Global Copenhagen, NÃ¸rre AllÃ© 7, Copenhagen N"
19,"(Entrance fee: Entre 125 DKK, Entre + Jazzmenu 275 DKK)",Paul Harrison Band.,"Fri 1 December 2017, 9 pm.","EllegÃ¥rden, Stavnsholtvej 168, Farum"
0,"(Entrance fee: 95,00 DKK)",BersÃ¦rk + Support - FÃ¥ Billetter.,"Fri 1 December 2017, 9 pm.","Beta, Ãresundsvej 6, Copenhagen S"
1,(Free admission),Casey Jones.,"Fri 1 December 2017, 9 pm  - 1 am.","VÃ¦rtshuset Pinden, Reventlowsgade 4, Copenhagen V"
2,(Entrance fee: 50 DKK. i forsalg - 60 DKK. i dÃ¸ren),Brekete Sounds (Ghana).,"Fri 1 December 2017, 9 pm  - 11 pm.","VerdensKulturCentret, NÃ¸rre AllÃ© 7, Copenhagen N"
3,(Entrance fee: 80),Blues overdrive.,"Fri 1 December 2017, 10 pm.","Mojo Blues bar, LÃ¸ngangsstrÃ¦de 21 C, Copenhagen K"
4,,Rust Natklub.,"Fri 1 December 2017, 11 pm.","Rust, Guldbergsgade 8, Copenhagen N"
5,(Entrance fee: 50kr - Billetsalg kommer snart),TigertrÃ¦ning Legekoncert.,"Sat 2 December 2017, 10 am.","Prismen, Holmbladsgade 71, Copenhagen S"
6,(Entrance fee: 120 DKK.),Gospel-workshop for alle!,"Sat 2 December 2017, 10 am  - 5 pm.","Lyngby Frikirke, ToftebÃ¦ksvej 13, Kongens Lyngby"
7,(Entrance fee: 75 DKK),Ab/cd - Juleshow.,"Sat 2 December 2017, 11 am.","KU.BE, Dirch Passers AllÃ© 4, Frederiksberg"
8,(Free admission),Kalles Store JuleTrommeshow.,"Sat 2 December 2017, 11 am.","Herlev Medborgerhus, HerlevgÃ¥rdsvej 18-20, Herlev"
9,(Entrance fee: Gratis billetter),Dans mellem bÃ¸gerne med dine bÃ¸rnebÃ¸rn.,"Sat 2 December 2017, 11 am.","FuresÃ¸ Bibliotek & Borgerservice, Farum, Kulturhuset, Stavnsholtvej 3, Farum"
10,(Free admission),Big Creek Slim og Peter Nande i Farum Kulturhus.,"Sat 2 December 2017, 11.30 am.","Farum Kulturhus, Stavnsholtvej 3, Farum"
11,(Free admission),OrgelmatinÃ©.,"Sat 2 December 2017, 12 am.","Vor Frue Kirke - KÃ¸benhavns Domkirke, NÃ¸rregade 8, Copenhagen K"
12,(Entrance fee: 50.00 for ikke medlemmer),HÃ¸reforeningen BrÃ¸ndby Lokalafdeling.Julefrokost med underholdning.,"Sat 2 December 2017, 12 am  to 15.","Kulturhuset Kilden, NygÃ¥rds Plads 31, BrÃ¸ndby"
13,,Julestue og Julekoncert med Albertslund koret.,"Sat 2 December 2017, 1 pm  - 4 pm.","HerstedÃ¸ster Kirke, HerstedÃ¸stergade 5, Albertslund"
14,,Julekoncert med SÃ¸borggaardkoret.,"Sat 2 December 2017, 2 pm  - 3 pm.","SÃ¸borg Kirkes sognegÃ¥rd, FrÃ¸dings AllÃ© 2, SÃ¸borg"
15,,Hvidovre Musikskoles kor.,"Sat 2 December 2017, 2 pm  - 4 pm.","Risbjerg Kirke, Kirkegade 2, Hvidovre"
16,"(Entrance fee: 100,-","""Dynamics"".","Sat 2 December 2017, 2.30 pm.","Jazzcup, Gothersgade 107, Copenhagen K"
17,(Free admission),Familiejulekoncert.,"Sat 2 December 2017, 3 pm.","Det kgl. Danske Musikkonservatoriums Koncertsal, Julius Thomsensgade 1, Frederiksberg C"
18,(Entrance fee: 50 - 190 DKK),Sigurd fortÃ¦ller Danmarkshistorie.,"Sat 2 December 2017, 3 pm  & 5 pm.","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C"
19,(Entrance fee: 200 DKK),Bach - H-mol Messe / Copenhagen Soloists.,"Sat 2 December 2017, 4 pm.","Holmens Kirke, Holmens Kanal 21, Copenhagen K"
0,"(Entrance fee: 135,00 dkk - 235,00 dkk)",Messias i Marmorkirken.,"Sat 2 December 2017, 4 pm.","Marmorkirken, Frederiksgade 4, Copenhagen K"
1,(Free admission),Julekoncert med Con Brio-koret.,"Sat 2 December 2017, 4 pm.","Frihavnskirken, Willemoesgade 68, Copenhagen Ã"
2,,Julekoncert CBS International Choir.,"Sat 2 December 2017, 4 pm  - 5 pm.","Sct. Thomas kirke, Rolighedsvej 16, Frederiksberg C"
3,,Bach: H-mol Messen med Copenhagen Soloists.,"Sat 2 December 2017, 4 pm  - 7 pm.","Holmens Kirke, Holmens Kanal 21, Copenhagen K"
4,"(Entrance fee: 275,00 DKK)",Caroline Henderson - Julekoncert 2017.,"Sat 2 December 2017, 5 pm.","Eliaskirken, Vesterbros Torv, Vesterbrogade 49, Copenhagen V"
5,(Free admission),Advents Vesper.,"Sat 2 December 2017, 7 pm.","Vor Frue Kirke - KÃ¸benhavns Domkirke, NÃ¸rregade 8, Copenhagen K"
6,"(Entrance fee: 150,00 DKK)",Christmas is Coming.,"Sat 2 December 2017, 7 pm.","Taastrup Nykirke, Taastrup Hovedgade 34, Taastrup"
7,,Juleoratoriet.,"Sat 2 December 2017, 7.30 pm  - 8.30 pm.","Sankt Jakobs Kirke, Ãsterbrogade 59, Copenhagen Ã"
8,"(Entrance fee: 225,00 DKK)",Peter Sommer & Tiggerne.,"Sat 2 December 2017, 8 pm.","VEGA, Enghavevej 40, Copenhagen V"
9,,Chimbos Revival & Innkeepers.,"Sat 2 December 2017, 8 pm.","Herlev Hallen, Tvedvangen 198, Herlev"
10,"(Entrance fee: 275,00 DKK)",Caroline Henderson - Julekoncert 2017.,"Sat 2 December 2017, 8 pm.","Eliaskirken, Vesterbros Torv, Vesterbrogade 49, Copenhagen V"
11,(Entrance fee: 210 DKK),Stillborn.,"Sat 2 December 2017, 8 pm.","Pumpehuset, StudiestrÃ¦de 52, Copenhagen V"
12,(Entrance fee: 200 DKK),Mando diao.,"Sat 2 December 2017, 8 pm.","VEGA, Enghavevej 40, Copenhagen V"
13,(Free admission),Vinbar med tapas og live musik.,"Sat 2 December 2017, 8 pm.","Cafe Delight ApS, Borups Alle 112, Frederiksberg"
14,(Entrance fee: 190),Litauisk julekoncert.,"Sat 2 December 2017, 8 pm.","Metronomen, GodthÃ¥bsvej 33, Frederiksberg"
15,(Entrance fee: 335 DKK + evt. gebyr),Ronnie Cuber & Danish All Stars B-3 Band.,"Sat 2 December 2017, 8 pm.","Jazzhus Montmartre, Store Regnegade 19A, Copenhagen K"
16,"(Entrance fee: 135,00 DKK)",Rachel Foxx (UK).,"Sat 2 December 2017, 8 pm.","Ideal Bar, Enghavevej 40, Copenhagen V"
17,(Entrance fee: 70/100),Copenhagen Folk Club prÃ¦senterer den danske visesanger Fin Alfred og det unge irske band Na Leanai!,"Sat 2 December 2017, 8 pm.","KU.BE, Dirch Passers AllÃ© 4, Frederiksberg"
18,,Rust Live.,"Sat 2 December 2017, 8.30 pm.","Rust, Guldbergsgade 8, Copenhagen N"
19,"(Entrance fee: 200,00 DKK)",Jon NÃ¸rgaard.,"Sat 2 December 2017, 9 pm.","Amager Bio, Ãresundsvej 6, Copenhagen S"
0,(Entrance fee: 100 DKK),Klimaforandringer.,"Sat 2 December 2017, 9 pm.","Global Copenhagen, NÃ¸rre AllÃ© 7, Copenhagen N"
1,"(Entrance fee: 95,00 DKK)",Nordic Giants (UK) + Support.,"Sat 2 December 2017, 9 pm.","Beta, Ãresundsvej 6, Copenhagen S"
2,(Entrance fee: 249 DKK + evt. gebyr),Suburban Summit #3.,"Sat 2 December 2017, 9 pm.","ForbrÃ¦ndingen, Vognporten 11, Albertslund"
3,(Entrance fee: 125 DKK),ODZ pÃ¥ Loppen!,"Sat 2 December 2017, 9 pm.","Loppen, Christiania, BÃ¥dsmandsstrÃ¦de 43, Copenhagen K"
4,(Entrance fee: 175 DKK. + gebyr - 200 DKK i dÃ¸ren),Funky julefest: Papa's Got a Brand New Bag - James Brown Tribute.,"Sat 2 December 2017, 9 pm.","K-I-B, Kulturhuset Islands Brygge, Islands Brygge 18, Copenhagen S"
5,(Entrance fee: 100 DKK),Big Joe Louis.,"Sat 2 December 2017, 10 pm.","Mojo Blues bar, LÃ¸ngangsstrÃ¦de 21 C, Copenhagen K"
6,,Denzel Curry (US).,"Sat 2 December 2017, 11 pm.","Rust, Guldbergsgade 8, Copenhagen N"
7,,Flavour.,"Sat 2 December 2017, 11 pm.","Rust, Guldbergsgade 8, Copenhagen N"
8,,Julekoncert Lyngby Scenekunst.,"Sun 3 December 2017, 1 pm.","Albertslund Biograferne, Bibliotekstorvet 1-3, Albertslund"
9,(Entrance fee: 85 DKK. /gratis for bÃ¸rn under 18),"Julesang, juleklip og hygge v. Mathias Hammer.","Sun 3 December 2017, 1 pm  - 3 pm.","Den Hirschsprungske Samling, Stockholmsgade 20, Copenhagen Ã"
10,(Free admission),JulematinÃ© i Kilden.,"Sun 3 December 2017, 1 pm  - 4 pm.","Kulturhuset Kilden, NygÃ¥rds Plads 31, BrÃ¸ndby"
11,(Entrance fee: 225 DKK. frem til. 9. november. 250 DKK. derefter),Mig og kunsten. Koncert med Bent Fabricius-Bjerre.,"Sun 3 December 2017, 2 pm  - 3 pm.","Statens Museum for Kunst, SÃ¸lvgade 48-50, Copenhagen K"
12,(Entrance fee: 50 DKK.),SÃ¸ndagsbal med RÃ¸dovre Palmehaveorkester.,"Sun 3 December 2017, 2 pm  - 5 pm.","RÃ¸dovregaard, Kirkesvinget 1, RÃ¸dovre"
13,(Free admission),Julekoncert med Harmonize.,"Sun 3 December 2017, 3 pm.","Frihavnskirken, Willemoesgade 68, Copenhagen Ã"
14,(Entrance fee: 100 DKK.),Trio Satie Salonkoncert med julestemning.,"Sun 3 December 2017, 3 pm.","Chemnitz, Ãsterbrogade 132, Copenhagen Ã"
15,(Entrance fee: 60 DKK + evt. gebyr),Lars Thorborg: 30 Ã¥r i Jazzens Tjeneste.,"Sun 3 December 2017, 3 pm.","Jazzhus Montmartre, Store Regnegade 19A, Copenhagen K"
16,,Adventskoncert i BagsvÃ¦rd Kirke.,"Sun 3 December 2017, 3 pm.","BagsvÃ¦rd Kirke, Taxvej 14-16, BagsvÃ¦rd"
17,,Koncert med Sct. Thomas kirkes kammerkor.,"Sun 3 December 2017, 3 pm  - 4 pm.","Sct. Thomas kirke, Rolighedsvej 16, Frederiksberg C"
18,,Kor Koncert.,"Sun 3 December 2017, 3 pm  - 4 pm.","Sct. Lukas Kirke, Christian Richardtsvej 1 - 3, Frederiksberg C"
19,,Adventskoncert og fÃ¦llessang over Martin Luthers salmer.,"Sun 3 December 2017, 3 pm  - 4 pm.","RÃ¸nnevang Kirke, Taastrup Hovedgade 150, Taastrup"
0,,JulestÃ¸ttekoncert v/ amalie og kons studerende.,"Sun 3 December 2017, 3 pm  - 5 pm.","Ansgarkirken, MÃ¥gevej 33, Copenhagen NV"
1,,Julekoncert.,"Sun 3 December 2017, 3 pm  - 5 pm.","BrÃ¸ndbyÃ¸ster Kirke, BrÃ¸ndbyÃ¸stervej 117 B, BrÃ¸ndby"
2,(Entrance fee: 100),Det Danske Sangselskab.,"Sun 3 December 2017, 3 pm  - 5 pm.","Det kgl. Danske Musikkonservatorium, Studiescenen, RosenÃ¸rns AllÃ© 22, Frederiksberg C"
3,"(Entrance fee: 135,00 dkk - 235,00 dkk)",Messias i Marmorkirken.,"Sun 3 December 2017, 4 pm.","Marmorkirken, Frederiksgade 4, Copenhagen K"
4,"(Entrance fee: 140,00 DKK)",PrÃ¦torius: Julemesse Med Trinitatis Kantori Og Kammerorkester.,"Sun 3 December 2017, 4 pm.","Trinitatis Kirke, LandemÃ¦rket 2, Copenhagen K"
5,(Entrance fee: 50 - 100 DKK),100% Jul med Gospelgeneration KIDS & NEXT.,"Sun 3 December 2017, 4 pm.","KÃ¸bnerkirken, Shetlandsgade 6, Copenhagen S"
6,,Rytmisk julekoncert.,"Sun 3 December 2017, 4 pm  - 5.30 pm.","VallensbÃ¦k Kirke og SognegÃ¥rd, Kirkebakke AllÃ© 9, VallensbÃ¦k"
7,,"Adventskoncert med Messiaskirkens Koncertkor: Vivaldi Gloria, Bach Magnificat.","Sun 3 December 2017, 4 pm  - 6.15 pm.","Messiaskirken, Hartmannsvej 46, Charlottenlund"
8,,Julekoncert med Pavlovskys Balalajkaorkester.,"Sun 3 December 2017, 4 pm  - 10 pm.","Husumvold Kirke, Gadelandet 25, BrÃ¸nshÃ¸j"
9,,Koncert med Rasmus Lyberth.,"Sun 3 December 2017, 5 pm  - 6 pm.","Christians Kirke, Strandgade 1, Copenhagen K"
10,(Entrance fee: 250),Jazzkoncert.,"Sun 3 December 2017, 6 pm.","Albertslund Jazzklub, Albertslund RÃ¥dhus, Kantinen, Albertslund"
11,,Julekoncer Hellerup Scenekunst.,"Sun 3 December 2017, 6.30 pm.","Albertslund Biograferne, Bibliotekstorvet 1-3, Albertslund"
12,"(Entrance fee: 200,00 DKK)",Northlane (AUS).,"Sun 3 December 2017, 7 pm.","VEGA, Enghavevej 40, Copenhagen V"
13,,Koncert med Lundehus -og Hans Egede kirkekor.,"Sun 3 December 2017, 7.30 pm  - 8.30 pm.","Lundehus Kirke, StrÃ¸damvej 1, Copenhagen Ã"
14,(Entrance fee: 160 DKK),Danmark Synger Julen Ind.,"Sun 3 December 2017, 7.45 pm.","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C"
15,(Entrance fee: 270 DKK),Dicte Hempler - The Dark and Stormy Sessions.,"Sun 3 December 2017, 8 pm.","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C"
16,(Entrance fee: 280 DKK),Ski Mask The Slump God.,"Sun 3 December 2017, 8 pm.","Pumpehuset, StudiestrÃ¦de 52, Copenhagen V"
17,"(Entrance fee: 275,00 DKK)",Kims Jul.,"Sun 3 December 2017, 8 pm.","Holmens Kirke, Holmens Kanal 21, Copenhagen K"
18,,Julekoncert med solist Christina Boelskifte.,"Sun 3 December 2017, 8 pm.","Frihavnskirken, Willemoesgade 68, Copenhagen Ã"
19,,Kim SjÃ¸grens julekoncert.,"Sun 3 December 2017, 8 pm  - 10 pm.","Holmens Kirke, Holmens Kanal 21, Copenhagen K"
0,(Free admission),Big Creek Slim.,"Sun 3 December 2017, 9.30 pm.","Mojo Blues bar, LÃ¸ngangsstrÃ¦de 21 C, Copenhagen K"
1,(Free admission),Cantus Koret synger julen ind i FRB.C.,"Mon 4 December 2017, 5 pm  - 6 pm.","Frederiksberg Centret, Falkoner AllÃ© 21, Frederiksberg"
2,,Julekoncert med Kuhlaukoret.,"Mon 4 December 2017, 7 pm  - 8 pm.","Christianskirken, Christian X's AllÃ© 122, Kongens Lyngby"
3,"(Entrance fee: 70,- ell. GRATIS til DANTE Forenings medlemmer)",Italiensk Julekoncert pÃ¥ Metronomen.,"Mon 4 December 2017, 7.30 pm.","Metronomen, GodthÃ¥bsvej 33, Frederiksberg"
4,(Free admission),Mestre pÃ¥ Mandage XI.,"Mon 4 December 2017, 7.30 pm.","Det kgl. Danske Musikkonservatorium, Studiescenen, RosenÃ¸rns AllÃ© 22, Frederiksberg C"
5,"(Entrance fee: 120,00 DKK)",Danish Music Awards Jazz 2017.,"Mon 4 December 2017, 7.30 pm.","Bremen Teater, Nyropsgade 39-41, Copenhagen V"
6,,Kammermusikforeningen af 1887: Julekoncert med Zapolski Strygerne.,"Mon 4 December 2017, 7.30 pm  - 8.30 pm.","Christians Kirke, Strandgade 1, Copenhagen K"
7,,Julekoncert med Farum Gospel.,"Mon 4 December 2017, 7.30 pm  - 9.30 pm.","Stavnsholtkirken, Stavnsholtvej 25, Farum"
8,,JuleKoncert med OBG.,"Mon 4 December 2017, 7.30 pm  - 9.30 pm.","SkelgÃ¥rdskirken, Sindingvej 9, Kastrup"
9,,Julekoncert med Joyful Nation.,"Mon 4 December 2017, 7.30 pm  - 10 pm.","Strandmarkskirken, Strandmarksvej 38, Hvidovre"
10,(Free admission),Jazz pÃ¥ BrÃ¸ndby Musikskole.,"Mon 4 December 2017, 8 pm.","BrÃ¸ndby Musikskole, TornehÃ¸j 1, BrÃ¸ndby"
11,(Free admission),Monday Juke Joint.,"Mon 4 December 2017, 9.30 pm.","Mojo Blues bar, LÃ¸ngangsstrÃ¦de 21 C, Copenhagen K"
12,,Carols by Candlelight - udendÃ¸rs.,"Tues 5 December 2017, 4.30 pm  - 5 pm.","Sct. MatthÃ¦us Kirke, MatthÃ¦usgade 31, Copenhagen V"
13,(Free admission),DKDM's Symfoniorkester spiller Petrusjka.,"Tues 5 December 2017, 5 pm.","Det kgl. Danske Musikkonservatoriums Koncertsal, Julius Thomsensgade 1, Frederiksberg C"
14,(Free admission),Julekoncert med MusikhÃ¸jskolen.,"Tues 5 December 2017, 6.30 pm.","Solbjerg Kirke, Howitzvej 30A, Frederiksberg"
15,(Entrance fee: 50 - 100 DKK),100% Jul.,"Tues 5 December 2017, 7 pm.","KÃ¸bnerkirken, Shetlandsgade 6, Copenhagen S"
16,(Free admission),Julekoncert med tre lokale kor.,"Tues 5 December 2017, 7 pm.","Nathanaels Kirke, Holmbladsgade 19, Copenhagen S"
17,"(Entrance fee: 150,00 DKK)",Ann-Mette Elten Julekoncert 2017.,"Tues 5 December 2017, 7.30 pm.","Strandmarkskirken, Strandmarksvej 38, Hvidovre"
18,(Entrance fee: 140 DKK + evt. gebyr),Na Leanai.,"Tues 5 December 2017, 7.30 pm.","Baltoppen Live, Baltorpvej 20, Ballerup"
19,,Julekoncert med Tritonuskoret.,"Tues 5 December 2017, 7.30 pm  - 8.30 pm.","SÃ¸borg Kirkes sognegÃ¥rd, FrÃ¸dings AllÃ© 2, SÃ¸borg"
0,,Julekoncert med Helleruplundkoret.,"Tues 5 December 2017, 7.30 pm  - 8.30 pm.","Helleruplund Kirke, Bernstorffsvej 73, Hellerup"
1,,Koncert m/ Marie Carmen Koppel.,"Tues 5 December 2017, 7.30 pm  - 9.30 pm.","Taastrup Nykirke, Taastrup Hovedgade 34, Taastrup"
2,,Julekoncert med Ann-Mette Elten.,"Tues 5 December 2017, 7.30 pm  - 9.30 pm.","Strandmarkskirken, Strandmarksvej 38, Hvidovre"
3,(Entrance fee: 100 DKK pr. Ã¥r),Spillemandsdansen spiller op til folkedans pÃ¥ Lindegaarden - CafÃ©aften - Ingen undervisning.,"Tues 5 December 2017, 7.30 pm  - 9.45 pm.","Kulturstedet Lindegaarden, Peter Lunds Vej 8, Kongens Lyngby"
4,(Entrance fee: 160 DKK),The Necks (AU).,"Tues 5 December 2017, 8 pm.","Brorsons Kirke, Rantzausgade 49, Copenhagen N"
5,"(Entrance fee: 175,00 DKK)",Tank And The Bangas (US).,"Tues 5 December 2017, 8 pm.","VEGA, Enghavevej 40, Copenhagen V"
6,"(Entrance fee: 185,00 DKK)",Royal Thunder.,"Tues 5 December 2017, 8 pm.","Pumpehuset, StudiestrÃ¦de 52, Copenhagen V"
7,,Releasekoncert med Baobab Sisters.,"Tues 5 December 2017, 8 pm.","VerdensKulturCentret, NÃ¸rre AllÃ© 7, Copenhagen N"
8,(Free admission),Americana tuesday.,"Tues 5 December 2017, 9 pm.","Mojo Blues bar, LÃ¸ngangsstrÃ¦de 21 C, Copenhagen K"
9,(Entrance fee: 100 DKK),Jeppe Gram Quartet feat. Jakob Dinesen.,"Tues 5 December 2017, 9 pm  - 11.30 pm.","Huset KBH - Stardust, RÃ¥dhusstrÃ¦de 13, 1. tv., Copenhagen K"
10,(Free admission),Jule sang eftermiddag.,"Wed 6 December 2017, 3 pm.","Kulturhuset Kilden, NygÃ¥rds Plads 31, BrÃ¸ndby"
11,(Entrance fee),Onsdagsjazz V. Jacob Fischer - Dagens Gryde.,"Wed 6 December 2017, 4.30 pm.","Bartof Station, Solbjergvej 3, Frederiksberg"
12,,Kirkeministerens Julekoncert.,"Wed 6 December 2017, 4.30 pm  - 6 pm.","Holmens Kirke, Holmens Kanal 21, Copenhagen K"
13,(Free admission),Jam-session pÃ¥ Lipperts.,"Wed 6 December 2017, 6 pm.","Medborgerhuset Lipperts, Taastrup Hovedgade 71, Taastrup"
14,,Jazz: Dagens Jazz.,"Wed 6 December 2017, 7 pm.","Bibliografen, BagsvÃ¦rd Hovedgade 116 P, BagsvÃ¦rd"
15,(Free admission),Julekoncert med MusikhÃ¸jskolen.,"Wed 6 December 2017, 7 pm.","Metronomen, GodthÃ¥bsvej 33, Frederiksberg"
16,,Julekoncert med Gospelkoret Faith.,"Wed 6 December 2017, 7 pm  - 9 pm.","Christianskirken, Christian X's AllÃ© 122, Kongens Lyngby"
17,(Entrance fee: 150 DKK),Trio Miilman-Thomsen-Rehling.,"Wed 6 December 2017, 7.30 pm.","Galaksen, Bymidten 48, VÃ¦rlÃ¸se"
18,(Free admission),Debutkoncert - Einar Kyvik Bauge.,"Wed 6 December 2017, 7.30 pm.","Det kgl. Danske Musikkonservatoriums Koncertsal, Julius Thomsensgade 1, Frederiksberg C"
19,(Free admission),Julekoncert i Frederiksberg Slotskirke.,"Wed 6 December 2017, 7.30 pm  - 9 pm.","Frederiksberg Slotskirke, Roskildevej 28, Frederiksberg"
0,(Entrance fee: 260 DKK + evt. gebyr),SÃ¸ren Kristiansen Trio.,"Wed 22 November 2017, 8 pm.","Jazzhus Montmartre, Store Regnegade 19A, Copenhagen K"
1,"(Entrance fee: 360,00 DKK)",Mastodon (us) - Udsolgt.,"Wed 22 November 2017, 8 pm.","VEGA, Enghavevej 40, Copenhagen V"
