,How much,What,When,Where
6,"(Entrance fee: 100,-/70,-)",Jesper Thilo Quintet.,"Sun 4 February 2018, 3 pm.","SofiekÃ¦lderen, Overgaden Oven Vandet 32, Copenhagen K"
7,,Koncert med Mazel Klezmer Band.,"Sun 4 February 2018, 3 pm  - 4 pm.","SÃ¸borg Kirkes sognegÃ¥rd, FrÃ¸dings AllÃ© 2, SÃ¸borg"
8,(Entrance fee: 60/30),Koncert til Kyndelmisse.,"Sun 4 February 2018, 5 pm.","Grundtvigs Kirke, PÃ¥ Bjerget 14B, Copenhagen NV"
9,(Free admission),PalÃ¦ Bar Jazz.,"Sun 4 February 2018, 5 pm  - 8 pm.","PalÃ¦ Bar, Ny Adelgade 5, Copenhagen K"
10,"(Entrance fee: 225,00 DKK)",Motionless In White.,"Sun 4 February 2018, 8 pm.","Pumpehuset, StudiestrÃ¦de 52, Copenhagen V"
11,(Entrance fee: 260 DKK),6lack - Free 6lack Tour.,"Sun 4 February 2018, 9 pm.","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C"
12,(Free admission),"Foredrag: ""Islandsk instrumentalmusik"" v. Benjamin BÃ¸gelund Bech.","Mon 5 February 2018, 7.30 pm.","Metronomen, GodthÃ¥bsvej 33, Frederiksberg"
13,(Entrance fee: 0 - 420 DKK),4 prices numbered.,"Tues 6 February 2018, 2 pm.","True Stories, C/o Nordisk Film, Mosedalvej 14, Valby"
14,(Entrance fee: 125 DKK),Other Roads.,"Tues 6 February 2018, 7.30 pm.","IshÃ¸j Kultur CafÃ©, IshÃ¸j Ãstergade 28, IshÃ¸j"
15,(Entrance fee: 90 - 165 DKK),Winterreise.,"Tues 6 February 2018, 8 pm.","Det Kongelige Bibliotek/Den Sorte Diamant, SÃ¸ren Kierkegaards Plads 1, Copenhagen K"
16,(Entrance fee: 190 DKK),The Soft Moon (us).,"Tues 6 February 2018, 8 pm.","Pumpehuset, StudiestrÃ¦de 52, Copenhagen V"
17,(Entrance fee: 140 DKK.),Shawn Holt & The Teardrops (US).,"Wed 7 February 2018, 10.25 am.","Kulturhuset PilegÃ¥rden, BrÃ¸nshÃ¸jvej 17, BrÃ¸nshÃ¸j"
18,(Entrance fee: 120 - 420 DKK),4 prices numbered.,"Wed 7 February 2018, 2 pm.","True Stories, C/o Nordisk Film, Mosedalvej 14, Valby"
19,(Free admission),Jam-session pÃ¥ Lipperts.,"Wed 7 February 2018, 6 pm.","Medborgerhuset Lipperts, Taastrup Hovedgade 71, Taastrup"
0,,Jazz: Tidlige Swingorkestre.,"Wed 7 February 2018, 7 pm.","Bibliografen, BagsvÃ¦rd Hovedgade 116 P, BagsvÃ¦rd"
1,(Entrance fee: 125 DKK),Nikolaj Christensen: TÃ¦t pÃ¥ musikken.,"Wed 7 February 2018, 7.30 pm.","IshÃ¸j Kultur CafÃ©, IshÃ¸j Ãstergade 28, IshÃ¸j"
2,(Entrance fee: 160 - 195 DKK),Fathers & Sons: Koppel - Diallo - NordsÃ¸ - Agami.,"Wed 7 February 2018, 8 pm.","PrÃ¸vehallen, PorcelÃ¦nstorvet 4, Valby"
3,(Entrance fee: 280 DKK),Bernhoft & The Fashion Bruises.,"Wed 7 February 2018, 8 pm.","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C"
4,(Entrance fee: 120 - 420 DKK),4 prices numbered.,"Thur 8 February 2018, 2 pm.","True Stories, C/o Nordisk Film, Mosedalvej 14, Valby"
5,(Entrance fee: 200 DKK),Citybois.,"Thur 8 February 2018, 7 pm.","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C"
6,"(Entrance fee: 250,00 DKK)",Miss May I.,"Thur 8 February 2018, 7 pm.","Pumpehuset, StudiestrÃ¦de 52, Copenhagen V"
7,(Free admission),Sangaften med fremtidens stjerner pÃ¥ MGK.,"Thur 8 February 2018, 7 pm.","MusikhÃ¸jskolen, Smallegade 12, Frederiksberg"
8,,Koncert: RaphaÃ«lis Consort.,"Thur 8 February 2018, 7 pm  - 10 pm.","Husum Kirke, Korsager AllÃ© 14, BrÃ¸nshÃ¸j"
9,(Entrance fee: 85 - 497 DKK),Canellakis & Zimmermann.,"Thur 8 February 2018, 7.30 pm.","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C"
10,(Entrance fee: 100 DKK),'Bach to Violin'.,"Thur 8 February 2018, 7.30 pm.","Reformert Kirke, Gothersgade 111, Copenhagen K"
11,(Entrance fee: Medlemmer gratis gÃ¦ster 50 DKK.),"Fastelavn ""Kom frit frem"".","Thur 8 February 2018, 7.30 pm  - 10 pm.","Telefonfabrikken - Gladsaxe Kulturhus, Telefonvej 8, SÃ¸borg"
12,"(Entrance fee: 290,00 dkk - 395,00 dkk)",Alex Vargas.,"Thur 8 February 2018, 8 pm.","Royal Arena, Hannemanns AllÃ© 18-20, Copenhagen S"
13,(Entrance fee: 160 - 195 DKK),Ole Kock Hansen A Very Big Band Feat. Marie Carmen Koppel & Benjamin Koppel.,"Thur 8 February 2018, 8 pm.","PrÃ¸vehallen, PorcelÃ¦nstorvet 4, Valby"
14,(Entrance fee),Electric Guitars.,"Thur 8 February 2018, 8 pm.","Kulturhuset Viften, RÃ¸dovre Parkvej 130, RÃ¸dovre"
15,(Entrance fee: 135 DKK.),Catbird.,"Thur 8 February 2018, 8 pm  - 10 pm.","Kulturhuset PilegÃ¥rden, BrÃ¸nshÃ¸jvej 17, BrÃ¸nshÃ¸j"
16,(Entrance fee: 60 DKK),SEXTILE pÃ¥ Loppen 8. februar.,"Thur 8 February 2018, 8.30 pm.","Loppen, Christiania, BÃ¥dsmandsstrÃ¦de 43, Copenhagen K"
17,(Entrance fee: 120 - 420 DKK),4 prices numbered.,"Fri 9 February 2018, 2 pm.","True Stories, C/o Nordisk Film, Mosedalvej 14, Valby"
18,"(Entrance fee: 120,-","Jesper Thilo ""New Quintet"".","Fri 9 February 2018, 3.30 pm.","Jazzcup, Gothersgade 107, Copenhagen K"
19,,"ALL SWING & BOSSA, Ole Schmidt, tenorsax og JÃ¸rgen Schaarup, guitar.","Fri 9 February 2018, 4 pm.","Argentinsk Vinbar Tango y Vinos, Herluf Trolles gade 9, Copenhagen K"
0,,Fredagskoncert.,"Fri 9 February 2018, 4.30 pm  - 5.30 pm.","Trinitatis Kirke, LandemÃ¦rket 2, Copenhagen K"
1,(Entrance fee),TÃ¦t pÃ¥ Anne Dorte og Maria.,"Fri 9 February 2018, 6 pm.","Restaurant BellahÃ¸j, BellahÃ¸jvej 20, BrÃ¸nshÃ¸j"
2,(Entrance fee: 315 - 375 DKK),Koppel Kornucopia.,"Fri 9 February 2018, 6 pm  & 9 pm.","Bremen Teater, Nyropsgade 39-41, Copenhagen V"
3,"(Entrance fee: 1320,00 DKK)",Burhan g.,"Fri 9 February 2018, 7 pm.","Kongekilden, Enghavevej 8, Dyrehaven, Klampenborg"
4,"(Entrance fee: 430,00 DKK)",Dropkick Murphys.,"Fri 9 February 2018, 7 pm.","Valby Hallen, Julius Andersens Vej 3, Copenhagen SV"
5,(Entrance fee: 85 - 497 DKK),Canellakis & Zimmermann.,"Fri 9 February 2018, 7.30 pm.","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C"
6,(Entrance fee: 270 DKK),OMD - Andy McCluskey and Paul Humphreys.,"Fri 9 February 2018, 8 pm.","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C"
7,(Entrance fee: Kr 30),Ramslag Folkets Hus Spillefolk.,"Fri 9 February 2018, 8 pm.","Metronomen, GodthÃ¥bsvej 33, Frederiksberg"
8,(Entrance fee),Skinz (DK).,"Fri 9 February 2018, 8 pm.","Ideal Bar, Enghavevej 40, Copenhagen V"
9,(Entrance fee: Forsalg: 50 DKK.,New Kids + Shadow Ray // Vinterjazz 2018.,"Fri 9 February 2018, 9 pm.","Karens Minde Kulturhus, Wagnersvej 19, Copenhagen SV"
10,"(Entrance fee: 90,00 DKK)",Heimat.,"Fri 9 February 2018, 9 pm.","Templet, Jernbanevej 16, Kongens Lyngby"
11,(Free admission),Nordiske Folketoner.,"Fri 9 February 2018, 9 pm.","Helligaandskirken, Niels Hemmingsens Gade 5, Copenhagen K"
12,(Free admission),OrgelmatinÃ©.,"Sat 10 February 2018, 12 am.","Vor Frue Kirke - KÃ¸benhavns Domkirke, NÃ¸rregade 8, Copenhagen K"
13,,VinÃ¸s MatinÃ©.,"Sat 10 February 2018, 2 pm  - 3.30 pm.","Helligaandskirken, Niels Hemmingsens Gade 5, Copenhagen K"
14,"(Entrance fee: 120,-","Snorre Kirk ""Nordic Quintet"".","Sat 10 February 2018, 2.30 pm.","Jazzcup, Gothersgade 107, Copenhagen K"
15,(Entrance fee),Cannibal Corpse (US) & Black Dahlia Murder (US).,"Sat 10 February 2018, 6.30 pm.","VEGA, Enghavevej 40, Copenhagen V"
16,"(Entrance fee: 100,00 DKK)",Prime Is Coming.,"Sat 10 February 2018, 6.30 pm.","Bremen Teater, Nyropsgade 39-41, Copenhagen V"
17,(Entrance fee: 175 Kr.),Dr big band feat. Claudio Campagnol.,"Sat 10 February 2018, 8 pm.","Taastrup Teater & Musikhus, Kjeld Abells Plads 1, Taastrup"
18,(Entrance fee: 220 - 270 DKK),Aura - Can`t Steal The Music Tour.,"Sat 10 February 2018, 8 pm.","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C"
19,"(Entrance fee: 280,00 DKK)",Sko/Torp.,"Sat 10 February 2018, 8 pm.","Kulturhuset Viften, RÃ¸dovre Parkvej 130, RÃ¸dovre"
0,"(Entrance fee: 400,00 dkk - 650,00 dkk)",Marcus & Martinus - Udsolgt/venteliste.,"Sat 10 February 2018, 8 pm.","Royal Arena, Hannemanns AllÃ© 18-20, Copenhagen S"
1,(Entrance fee),Hjalmer.,"Sat 10 February 2018, 9 pm.","Templet, Jernbanevej 16, Kongens Lyngby"
2,,Malene Mortensens Supertrio.,"Sun 11 February 2018, 12 am.","Kulturhuset Viften, RÃ¸dovre Parkvej 130, RÃ¸dovre"
3,(Free admission),Kastelskirkens SÃ¸ndagskoncerter.,"Sun 11 February 2018, 2 pm.","Kastelskirken, Kastellet 50, Copenhagen Ã"
4,"(Entrance fee: 50,00 DKK i DÃ¸ren)",Unge spiller klassisk - intimkoncert.,"Sun 11 February 2018, 3 pm  - 4 pm.","Metronomen, GodthÃ¥bsvej 33, Frederiksberg"
5,(Entrance fee: 123 - 225 DKK),"DR Big Band prÃ¦senterer ""Jazz guld"".","Sun 11 February 2018, 4 pm.","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C"
6,,Lied-koncert.,"Sun 11 February 2018, 4 pm  - 5 pm.","Mariendals Kirke, Nitivej 17, Frederiksberg"
7,,Koncert sang orgel.,"Sun 11 February 2018, 4 pm  - 5 pm.","VejleÃ¥ Kirke, IshÃ¸j Boulevard 1, IshÃ¸j"
8,"(Entrance fee: 250,00 DKK)",Accept (DE).,"Sun 11 February 2018, 7.30 pm.","VEGA, Enghavevej 40, Copenhagen V"
9,"(Entrance fee: 450,00 dkk - 520,00 dkk)",Verdi Nights.,"Sun 11 February 2018, 7.30 pm.","Det kgl. Danske Musikkonservatoriums Koncertsal, Julius Thomsensgade 1, Frederiksberg C"
